05AD,0596,֭,֖,HEBREW ACCENT DEHI,BREW ACCENT TIPEHA
11BA,1109,ᆺ,ᄉ,HANGUL JONGSEONG SIOS,NGUL CHOSEONG SIOS
112D,1109 1100,ᄭ,ᄉᄀ,HANGUL CHOSEONG SIOS-KIYEOK,NGUL CHOSEONG SIOS, HANGUL CHOSEONG KIYEOK
317A,1109 1100,ㅺ,ᄉᄀ,HANGUL LETTER SIOS-KIYEOK,NGUL CHOSEONG SIOS, HANGUL CHOSEONG KIYEOK
11E7,1109 1100,ᇧ,ᄉᄀ,HANGUL JONGSEONG SIOS-KIYEOK,NGUL CHOSEONG SIOS, HANGUL CHOSEONG KIYEOK
112E,1109 1102,ᄮ,ᄉᄂ,HANGUL CHOSEONG SIOS-NIEUN,NGUL CHOSEONG SIOS, HANGUL CHOSEONG NIEUN
317B,1109 1102,ㅻ,ᄉᄂ,HANGUL LETTER SIOS-NIEUN,NGUL CHOSEONG SIOS, HANGUL CHOSEONG NIEUN
112F,1109 1103,ᄯ,ᄉᄃ,HANGUL CHOSEONG SIOS-TIKEUT,NGUL CHOSEONG SIOS, HANGUL CHOSEONG TIKEUT
317C,1109 1103,ㅼ,ᄉᄃ,HANGUL LETTER SIOS-TIKEUT,NGUL CHOSEONG SIOS, HANGUL CHOSEONG TIKEUT
11E8,1109 1103,ᇨ,ᄉᄃ,HANGUL JONGSEONG SIOS-TIKEUT,NGUL CHOSEONG SIOS, HANGUL CHOSEONG TIKEUT
1130,1109 1105,ᄰ,ᄉᄅ,HANGUL CHOSEONG SIOS-RIEUL,NGUL CHOSEONG SIOS, HANGUL CHOSEONG RIEUL
11E9,1109 1105,ᇩ,ᄉᄅ,HANGUL JONGSEONG SIOS-RIEUL,NGUL CHOSEONG SIOS, HANGUL CHOSEONG RIEUL
1131,1109 1106,ᄱ,ᄉᄆ,HANGUL CHOSEONG SIOS-MIEUM,NGUL CHOSEONG SIOS, HANGUL CHOSEONG MIEUM
D7EA,1109 1106,ퟪ,ᄉᄆ,HANGUL JONGSEONG SIOS-MIEUM,NGUL CHOSEONG SIOS, HANGUL CHOSEONG MIEUM
1132,1109 1107,ᄲ,ᄉᄇ,HANGUL CHOSEONG SIOS-PIEUP,NGUL CHOSEONG SIOS, HANGUL CHOSEONG PIEUP
317D,1109 1107,ㅽ,ᄉᄇ,HANGUL LETTER SIOS-PIEUP,NGUL CHOSEONG SIOS, HANGUL CHOSEONG PIEUP
11EA,1109 1107,ᇪ,ᄉᄇ,HANGUL JONGSEONG SIOS-PIEUP,NGUL CHOSEONG SIOS, HANGUL CHOSEONG PIEUP
1133,1109 1107 1100,ᄳ,ᄉᄇᄀ,HANGUL CHOSEONG SIOS-PIEUP-KIYEOK,NGUL CHOSEONG SIOS, HANGUL CHOSEONG PIEUP, HANGUL CHOSEONG KIYEOK
D7EB,1109 1107 110B,ퟫ,ᄉᄇᄋ,HANGUL JONGSEONG SIOS-KAPYEOUNPIEUP,NGUL CHOSEONG SIOS, HANGUL CHOSEONG PIEUP, HANGUL CHOSEONG IEUNG
110A,1109 1109,ᄊ,ᄉᄉ,HANGUL CHOSEONG SSANGSIOS,NGUL CHOSEONG SIOS, HANGUL CHOSEONG SIOS
3146,1109 1109,ㅆ,ᄉᄉ,HANGUL LETTER SSANGSIOS,NGUL CHOSEONG SIOS, HANGUL CHOSEONG SIOS
11BB,1109 1109,ᆻ,ᄉᄉ,HANGUL JONGSEONG SSANGSIOS,NGUL CHOSEONG SIOS, HANGUL CHOSEONG SIOS
D7EC,1109 1109 1100,ퟬ,ᄉᄉᄀ,HANGUL JONGSEONG SSANGSIOS-KIYEOK,NGUL CHOSEONG SIOS, HANGUL CHOSEONG SIOS, HANGUL CHOSEONG KIYEOK
D7ED,1109 1109 1103,ퟭ,ᄉᄉᄃ,HANGUL JONGSEONG SSANGSIOS-TIKEUT,NGUL CHOSEONG SIOS, HANGUL CHOSEONG SIOS, HANGUL CHOSEONG TIKEUT
A975,1109 1109 1107,ꥵ,ᄉᄉᄇ,HANGUL CHOSEONG SSANGSIOS-PIEUP,NGUL CHOSEONG SIOS, HANGUL CHOSEONG SIOS, HANGUL CHOSEONG PIEUP
1134,1109 1109 1109,ᄴ,ᄉᄉᄉ,HANGUL CHOSEONG SIOS-SSANGSIOS,NGUL CHOSEONG SIOS, HANGUL CHOSEONG SIOS, HANGUL CHOSEONG SIOS
1135,1109 110B,ᄵ,ᄉᄋ,HANGUL CHOSEONG SIOS-IEUNG,NGUL CHOSEONG SIOS, HANGUL CHOSEONG IEUNG
1136,1109 110C,ᄶ,ᄉᄌ,HANGUL CHOSEONG SIOS-CIEUC,NGUL CHOSEONG SIOS, HANGUL CHOSEONG CIEUC
317E,1109 110C,ㅾ,ᄉᄌ,HANGUL LETTER SIOS-CIEUC,NGUL CHOSEONG SIOS, HANGUL CHOSEONG CIEUC
D7EF,1109 110C,ퟯ,ᄉᄌ,HANGUL JONGSEONG SIOS-CIEUC,NGUL CHOSEONG SIOS, HANGUL CHOSEONG CIEUC
1137,1109 110E,ᄷ,ᄉᄎ,HANGUL CHOSEONG SIOS-CHIEUCH,NGUL CHOSEONG SIOS, HANGUL CHOSEONG CHIEUCH
D7F0,1109 110E,ퟰ,ᄉᄎ,HANGUL JONGSEONG SIOS-CHIEUCH,NGUL CHOSEONG SIOS, HANGUL CHOSEONG CHIEUCH
1138,1109 110F,ᄸ,ᄉᄏ,HANGUL CHOSEONG SIOS-KHIEUKH,NGUL CHOSEONG SIOS, HANGUL CHOSEONG KHIEUKH
1139,1109 1110,ᄹ,ᄉᄐ,HANGUL CHOSEONG SIOS-THIEUTH,NGUL CHOSEONG SIOS, HANGUL CHOSEONG THIEUTH
D7F1,1109 1110,ퟱ,ᄉᄐ,HANGUL JONGSEONG SIOS-THIEUTH,NGUL CHOSEONG SIOS, HANGUL CHOSEONG THIEUTH
113A,1109 1111,ᄺ,ᄉᄑ,HANGUL CHOSEONG SIOS-PHIEUPH,NGUL CHOSEONG SIOS, HANGUL CHOSEONG PHIEUPH
D7EE,1109 1140,ퟮ,ᄉᅀ,HANGUL JONGSEONG SIOS-PANSIOS,NGUL CHOSEONG SIOS, HANGUL CHOSEONG PANSIOS
3147,110B,ㅇ,ᄋ,HANGUL LETTER IEUNG,NGUL CHOSEONG IEUNG
11BC,110B,ᆼ,ᄋ,HANGUL JONGSEONG IEUNG,NGUL CHOSEONG IEUNG
1141,110B 1100,ᅁ,ᄋᄀ,HANGUL CHOSEONG IEUNG-KIYEOK,NGUL CHOSEONG IEUNG, HANGUL CHOSEONG KIYEOK
11EC,110B 1100,ᇬ,ᄋᄀ,HANGUL JONGSEONG IEUNG-KIYEOK,NGUL CHOSEONG IEUNG, HANGUL CHOSEONG KIYEOK
11ED,110B 1100 1100,ᇭ,ᄋᄀᄀ,HANGUL JONGSEONG IEUNG-SSANGKIYEOK,NGUL CHOSEONG IEUNG, HANGUL CHOSEONG KIYEOK, HANGUL CHOSEONG KIYEOK
1142,110B 1103,ᅂ,ᄋᄃ,HANGUL CHOSEONG IEUNG-TIKEUT,NGUL CHOSEONG IEUNG, HANGUL CHOSEONG TIKEUT
A976,110B 1105,ꥶ,ᄋᄅ,HANGUL CHOSEONG IEUNG-RIEUL,NGUL CHOSEONG IEUNG, HANGUL CHOSEONG RIEUL
1143,110B 1106,ᅃ,ᄋᄆ,HANGUL CHOSEONG IEUNG-MIEUM,NGUL CHOSEONG IEUNG, HANGUL CHOSEONG MIEUM
1144,110B 1107,ᅄ,ᄋᄇ,HANGUL CHOSEONG IEUNG-PIEUP,NGUL CHOSEONG IEUNG, HANGUL CHOSEONG PIEUP
1145,110B 1109,ᅅ,ᄋᄉ,HANGUL CHOSEONG IEUNG-SIOS,NGUL CHOSEONG IEUNG, HANGUL CHOSEONG SIOS
11F1,110B 1109,ᇱ,ᄋᄉ,HANGUL JONGSEONG YESIEUNG-SIOS,NGUL CHOSEONG IEUNG, HANGUL CHOSEONG SIOS
3182,110B 1109,ㆂ,ᄋᄉ,HANGUL LETTER YESIEUNG-SIOS,NGUL CHOSEONG IEUNG, HANGUL CHOSEONG SIOS
1147,110B 110B,ᅇ,ᄋᄋ,HANGUL CHOSEONG SSANGIEUNG,NGUL CHOSEONG IEUNG, HANGUL CHOSEONG IEUNG
3180,110B 110B,ㆀ,ᄋᄋ,HANGUL LETTER SSANGIEUNG,NGUL CHOSEONG IEUNG, HANGUL CHOSEONG IEUNG
11EE,110B 110B,ᇮ,ᄋᄋ,HANGUL JONGSEONG SSANGIEUNG,NGUL CHOSEONG IEUNG, HANGUL CHOSEONG IEUNG
1148,110B 110C,ᅈ,ᄋᄌ,HANGUL CHOSEONG IEUNG-CIEUC,NGUL CHOSEONG IEUNG, HANGUL CHOSEONG CIEUC
1149,110B 110E,ᅉ,ᄋᄎ,HANGUL CHOSEONG IEUNG-CHIEUCH,NGUL CHOSEONG IEUNG, HANGUL CHOSEONG CHIEUCH
11EF,110B 110F,ᇯ,ᄋᄏ,HANGUL JONGSEONG IEUNG-KHIEUKH,NGUL CHOSEONG IEUNG, HANGUL CHOSEONG KHIEUKH
114A,110B 1110,ᅊ,ᄋᄐ,HANGUL CHOSEONG IEUNG-THIEUTH,NGUL CHOSEONG IEUNG, HANGUL CHOSEONG THIEUTH
114B,110B 1111,ᅋ,ᄋᄑ,HANGUL CHOSEONG IEUNG-PHIEUPH,NGUL CHOSEONG IEUNG, HANGUL CHOSEONG PHIEUPH
A977,110B 1112,ꥷ,ᄋᄒ,HANGUL CHOSEONG IEUNG-HIEUH,NGUL CHOSEONG IEUNG, HANGUL CHOSEONG HIEUH
1146,110B 1140,ᅆ,ᄋᅀ,HANGUL CHOSEONG IEUNG-PANSIOS,NGUL CHOSEONG IEUNG, HANGUL CHOSEONG PANSIOS
11F2,110B 1140,ᇲ,ᄋᅀ,HANGUL JONGSEONG YESIEUNG-PANSIOS,NGUL CHOSEONG IEUNG, HANGUL CHOSEONG PANSIOS
3183,110B 1140,ㆃ,ᄋᅀ,HANGUL LETTER YESIEUNG-PANSIOS,NGUL CHOSEONG IEUNG, HANGUL CHOSEONG PANSIOS
3148,110C,ㅈ,ᄌ,HANGUL LETTER CIEUC,NGUL CHOSEONG CIEUC
11BD,110C,ᆽ,ᄌ,HANGUL JONGSEONG CIEUC,NGUL CHOSEONG CIEUC
D7F7,110C 1107,ퟷ,ᄌᄇ,HANGUL JONGSEONG CIEUC-PIEUP,NGUL CHOSEONG CIEUC, HANGUL CHOSEONG PIEUP
D7F8,110C 1107 1107,ퟸ,ᄌᄇᄇ,HANGUL JONGSEONG CIEUC-SSANGPIEUP,NGUL CHOSEONG CIEUC, HANGUL CHOSEONG PIEUP, HANGUL CHOSEONG PIEUP
114D,110C 110B,ᅍ,ᄌᄋ,HANGUL CHOSEONG CIEUC-IEUNG,NGUL CHOSEONG CIEUC, HANGUL CHOSEONG IEUNG
110D,110C 110C,ᄍ,ᄌᄌ,HANGUL CHOSEONG SSANGCIEUC,NGUL CHOSEONG CIEUC, HANGUL CHOSEONG CIEUC
3149,110C 110C,ㅉ,ᄌᄌ,HANGUL LETTER SSANGCIEUC,NGUL CHOSEONG CIEUC, HANGUL CHOSEONG CIEUC
D7F9,110C 110C,ퟹ,ᄌᄌ,HANGUL JONGSEONG SSANGCIEUC,NGUL CHOSEONG CIEUC, HANGUL CHOSEONG CIEUC
A978,110C 110C 1112,ꥸ,ᄌᄌᄒ,HANGUL CHOSEONG SSANGCIEUC-HIEUH,NGUL CHOSEONG CIEUC, HANGUL CHOSEONG CIEUC, HANGUL CHOSEONG HIEUH
314A,110E,ㅊ,ᄎ,HANGUL LETTER CHIEUCH,NGUL CHOSEONG CHIEUCH
11BE,110E,ᆾ,ᄎ,HANGUL JONGSEONG CHIEUCH,NGUL CHOSEONG CHIEUCH
1152,110E 110F,ᅒ,ᄎᄏ,HANGUL CHOSEONG CHIEUCH-KHIEUKH,NGUL CHOSEONG CHIEUCH, HANGUL CHOSEONG KHIEUKH
1153,110E 1112,ᅓ,ᄎᄒ,HANGUL CHOSEONG CHIEUCH-HIEUH,NGUL CHOSEONG CHIEUCH, HANGUL CHOSEONG HIEUH
314B,110F,ㅋ,ᄏ,HANGUL LETTER KHIEUKH,NGUL CHOSEONG KHIEUKH
11BF,110F,ᆿ,ᄏ,HANGUL JONGSEONG KHIEUKH,NGUL CHOSEONG KHIEUKH
314C,1110,ㅌ,ᄐ,HANGUL LETTER THIEUTH,NGUL CHOSEONG THIEUTH
11C0,1110,ᇀ,ᄐ,HANGUL JONGSEONG THIEUTH,NGUL CHOSEONG THIEUTH
A979,1110 1110,ꥹ,ᄐᄐ,HANGUL CHOSEONG SSANGTHIEUTH,NGUL CHOSEONG THIEUTH, HANGUL CHOSEONG THIEUTH
314D,1111,ㅍ,ᄑ,HANGUL LETTER PHIEUPH,NGUL CHOSEONG PHIEUPH
11C1,1111,ᇁ,ᄑ,HANGUL JONGSEONG PHIEUPH,NGUL CHOSEONG PHIEUPH
1156,1111 1107,ᅖ,ᄑᄇ,HANGUL CHOSEONG PHIEUPH-PIEUP,NGUL CHOSEONG PHIEUPH, HANGUL CHOSEONG PIEUP
11F3,1111 1107,ᇳ,ᄑᄇ,HANGUL JONGSEONG PHIEUPH-PIEUP,NGUL CHOSEONG PHIEUPH, HANGUL CHOSEONG PIEUP
D7FA,1111 1109,ퟺ,ᄑᄉ,HANGUL JONGSEONG PHIEUPH-SIOS,NGUL CHOSEONG PHIEUPH, HANGUL CHOSEONG SIOS
1157,1111 110B,ᅗ,ᄑᄋ,HANGUL CHOSEONG KAPYEOUNPHIEUPH,NGUL CHOSEONG PHIEUPH, HANGUL CHOSEONG IEUNG
3184,1111 110B,ㆄ,ᄑᄋ,HANGUL LETTER KAPYEOUNPHIEUPH,NGUL CHOSEONG PHIEUPH, HANGUL CHOSEONG IEUNG
11F4,1111 110B,ᇴ,ᄑᄋ,HANGUL JONGSEONG KAPYEOUNPHIEUPH,NGUL CHOSEONG PHIEUPH, HANGUL CHOSEONG IEUNG
D7FB,1111 1110,ퟻ,ᄑᄐ,HANGUL JONGSEONG PHIEUPH-THIEUTH,NGUL CHOSEONG PHIEUPH, HANGUL CHOSEONG THIEUTH
A97A,1111 1112,ꥺ,ᄑᄒ,HANGUL CHOSEONG PHIEUPH-HIEUH,NGUL CHOSEONG PHIEUPH, HANGUL CHOSEONG HIEUH
314E,1112,ㅎ,ᄒ,HANGUL LETTER HIEUH,NGUL CHOSEONG HIEUH
11C2,1112,ᇂ,ᄒ,HANGUL JONGSEONG HIEUH,NGUL CHOSEONG HIEUH
11F5,1112 1102,ᇵ,ᄒᄂ,HANGUL JONGSEONG HIEUH-NIEUN,NGUL CHOSEONG HIEUH, HANGUL CHOSEONG NIEUN
11F6,1112 1105,ᇶ,ᄒᄅ,HANGUL JONGSEONG HIEUH-RIEUL,NGUL CHOSEONG HIEUH, HANGUL CHOSEONG RIEUL
11F7,1112 1106,ᇷ,ᄒᄆ,HANGUL JONGSEONG HIEUH-MIEUM,NGUL CHOSEONG HIEUH, HANGUL CHOSEONG MIEUM
11F8,1112 1107,ᇸ,ᄒᄇ,HANGUL JONGSEONG HIEUH-PIEUP,NGUL CHOSEONG HIEUH, HANGUL CHOSEONG PIEUP
A97B,1112 1109,ꥻ,ᄒᄉ,HANGUL CHOSEONG HIEUH-SIOS,NGUL CHOSEONG HIEUH, HANGUL CHOSEONG SIOS
1158,1112 1112,ᅘ,ᄒᄒ,HANGUL CHOSEONG SSANGHIEUH,NGUL CHOSEONG HIEUH, HANGUL CHOSEONG HIEUH
3185,1112 1112,ㆅ,ᄒᄒ,HANGUL LETTER SSANGHIEUH,NGUL CHOSEONG HIEUH, HANGUL CHOSEONG HIEUH
113D,113C 113C,ᄽ,ᄼᄼ,HANGUL CHOSEONG CHITUEUMSSANGSIOS,NGUL CHOSEONG CHITUEUMSIOS, HANGUL CHOSEONG CHITUEUMSIOS
113F,113E 113E,ᄿ,ᄾᄾ,HANGUL CHOSEONG CEONGCHIEUMSSANGSIOS,NGUL CHOSEONG CEONGCHIEUMSIOS, HANGUL CHOSEONG CEONGCHIEUMSIOS
317F,1140,ㅿ,ᅀ,HANGUL LETTER PANSIOS,NGUL CHOSEONG PANSIOS
11EB,1140,ᇫ,ᅀ,HANGUL JONGSEONG PANSIOS,NGUL CHOSEONG PANSIOS
D7F3,1140 1107,ퟳ,ᅀᄇ,HANGUL JONGSEONG PANSIOS-PIEUP,NGUL CHOSEONG PANSIOS, HANGUL CHOSEONG PIEUP
D7F4,1140 1107 110B,ퟴ,ᅀᄇᄋ,HANGUL JONGSEONG PANSIOS-KAPYEOUNPIEUP,NGUL CHOSEONG PANSIOS, HANGUL CHOSEONG PIEUP, HANGUL CHOSEONG IEUNG
3181,114C,ㆁ,ᅌ,HANGUL LETTER YESIEUNG,NGUL CHOSEONG YESIEUNG
11F0,114C,ᇰ,ᅌ,HANGUL JONGSEONG YESIEUNG,NGUL CHOSEONG YESIEUNG
D7F5,114C 1106,ퟵ,ᅌᄆ,HANGUL JONGSEONG YESIEUNG-MIEUM,NGUL CHOSEONG YESIEUNG, HANGUL CHOSEONG MIEUM
D7F6,114C 1112,ퟶ,ᅌᄒ,HANGUL JONGSEONG YESIEUNG-HIEUH,NGUL CHOSEONG YESIEUNG, HANGUL CHOSEONG HIEUH
114F,114E 114E,ᅏ,ᅎᅎ,HANGUL CHOSEONG CHITUEUMSSANGCIEUC,NGUL CHOSEONG CHITUEUMCIEUC, HANGUL CHOSEONG CHITUEUMCIEUC
1151,1150 1150,ᅑ,ᅐᅐ,HANGUL CHOSEONG CEONGCHIEUMSSANGCIEUC,NGUL CHOSEONG CEONGCHIEUMCIEUC, HANGUL CHOSEONG CEONGCHIEUMCIEUC
3186,1159,ㆆ,ᅙ,HANGUL LETTER YEORINHIEUH,NGUL CHOSEONG YEORINHIEUH
11F9,1159,ᇹ,ᅙ,HANGUL JONGSEONG YEORINHIEUH,NGUL CHOSEONG YEORINHIEUH
A97C,1159 1159,ꥼ,ᅙᅙ,HANGUL CHOSEONG SSANGYEORINHIEUH,NGUL CHOSEONG YEORINHIEUH, HANGUL CHOSEONG YEORINHIEUH
3164,1160,,,HANGUL FILLER,NGUL JUNGSEONG FILLER
314F,1161,ㅏ,ᅡ,HANGUL LETTER A,NGUL JUNGSEONG A
11A3,1161 30FC,ᆣ,ᅡー,HANGUL JUNGSEONG A-EU,NGUL JUNGSEONG A, KATAKANA-HIRAGANA PROLONGED SOUND MARK
1176,1161 1169,ᅶ,ᅡᅩ,HANGUL JUNGSEONG A-O,NGUL JUNGSEONG A, HANGUL JUNGSEONG O
1177,1161 116E,ᅷ,ᅡᅮ,HANGUL JUNGSEONG A-U,NGUL JUNGSEONG A, HANGUL JUNGSEONG U
1162,1161 4E28,ᅢ,ᅡ丨,HANGUL JUNGSEONG AE,NGUL JUNGSEONG A, CJK UNIFIED IDEOGRAPH-4E28
3150,1161 4E28,ㅐ,ᅡ丨,HANGUL LETTER AE,NGUL JUNGSEONG A, CJK UNIFIED IDEOGRAPH-4E28
3151,1163,ㅑ,ᅣ,HANGUL LETTER YA,NGUL JUNGSEONG YA
1178,1163 1169,ᅸ,ᅣᅩ,HANGUL JUNGSEONG YA-O,NGUL JUNGSEONG YA, HANGUL JUNGSEONG O
1179,1163 116D,ᅹ,ᅣᅭ,HANGUL JUNGSEONG YA-YO,NGUL JUNGSEONG YA, HANGUL JUNGSEONG YO
11A4,1163 116E,ᆤ,ᅣᅮ,HANGUL JUNGSEONG YA-U,NGUL JUNGSEONG YA, HANGUL JUNGSEONG U
1164,1163 4E28,ᅤ,ᅣ丨,HANGUL JUNGSEONG YAE,NGUL JUNGSEONG YA, CJK UNIFIED IDEOGRAPH-4E28
3152,1163 4E28,ㅒ,ᅣ丨,HANGUL LETTER YAE,NGUL JUNGSEONG YA, CJK UNIFIED IDEOGRAPH-4E28
3153,1165,ㅓ,ᅥ,HANGUL LETTER EO,NGUL JUNGSEONG EO
117C,1165 30FC,ᅼ,ᅥー,HANGUL JUNGSEONG EO-EU,NGUL JUNGSEONG EO, KATAKANA-HIRAGANA PROLONGED SOUND MARK
117A,1165 1169,ᅺ,ᅥᅩ,HANGUL JUNGSEONG EO-O,NGUL JUNGSEONG EO, HANGUL JUNGSEONG O
117B,1165 116E,ᅻ,ᅥᅮ,HANGUL JUNGSEONG EO-U,NGUL JUNGSEONG EO, HANGUL JUNGSEONG U
1166,1165 4E28,ᅦ,ᅥ丨,HANGUL JUNGSEONG E,NGUL JUNGSEONG EO, CJK UNIFIED IDEOGRAPH-4E28
3154,1165 4E28,ㅔ,ᅥ丨,HANGUL LETTER E,NGUL JUNGSEONG EO, CJK UNIFIED IDEOGRAPH-4E28
3155,1167,ㅕ,ᅧ,HANGUL LETTER YEO,NGUL JUNGSEONG YEO
11A5,1167 1163,ᆥ,ᅧᅣ,HANGUL JUNGSEONG YEO-YA,NGUL JUNGSEONG YEO, HANGUL JUNGSEONG YA
117D,1167 1169,ᅽ,ᅧᅩ,HANGUL JUNGSEONG YEO-O,NGUL JUNGSEONG YEO, HANGUL JUNGSEONG O
117E,1167 116E,ᅾ,ᅧᅮ,HANGUL JUNGSEONG YEO-U,NGUL JUNGSEONG YEO, HANGUL JUNGSEONG U
1168,1167 4E28,ᅨ,ᅧ丨,HANGUL JUNGSEONG YE,NGUL JUNGSEONG YEO, CJK UNIFIED IDEOGRAPH-4E28
3156,1167 4E28,ㅖ,ᅧ丨,HANGUL LETTER YE,NGUL JUNGSEONG YEO, CJK UNIFIED IDEOGRAPH-4E28
3157,1169,ㅗ,ᅩ,HANGUL LETTER O,NGUL JUNGSEONG O
116A,1169 1161,ᅪ,ᅩᅡ,HANGUL JUNGSEONG WA,NGUL JUNGSEONG O, HANGUL JUNGSEONG A
3158,1169 1161,ㅘ,ᅩᅡ,HANGUL LETTER WA,NGUL JUNGSEONG O, HANGUL JUNGSEONG A
116B,1169 1161 4E28,ᅫ,ᅩᅡ丨,HANGUL JUNGSEONG WAE,NGUL JUNGSEONG O, HANGUL JUNGSEONG A, CJK UNIFIED IDEOGRAPH-4E28
3159,1169 1161 4E28,ㅙ,ᅩᅡ丨,HANGUL LETTER WAE,NGUL JUNGSEONG O, HANGUL JUNGSEONG A, CJK UNIFIED IDEOGRAPH-4E28
11A6,1169 1163,ᆦ,ᅩᅣ,HANGUL JUNGSEONG O-YA,NGUL JUNGSEONG O, HANGUL JUNGSEONG YA
11A7,1169 1163 4E28,ᆧ,ᅩᅣ丨,HANGUL JUNGSEONG O-YAE,NGUL JUNGSEONG O, HANGUL JUNGSEONG YA, CJK UNIFIED IDEOGRAPH-4E28
117F,1169 1165,ᅿ,ᅩᅥ,HANGUL JUNGSEONG O-EO,NGUL JUNGSEONG O, HANGUL JUNGSEONG EO
1180,1169 1165 4E28,ᆀ,ᅩᅥ丨,HANGUL JUNGSEONG O-E,NGUL JUNGSEONG O, HANGUL JUNGSEONG EO, CJK UNIFIED IDEOGRAPH-4E28
D7B0,1169 1167,ힰ,ᅩᅧ,HANGUL JUNGSEONG O-YEO,NGUL JUNGSEONG O, HANGUL JUNGSEONG YEO
1181,1169 1167 4E28,ᆁ,ᅩᅧ丨,HANGUL JUNGSEONG O-YE,NGUL JUNGSEONG O, HANGUL JUNGSEONG YEO, CJK UNIFIED IDEOGRAPH-4E28
1182,1169 1169,ᆂ,ᅩᅩ,HANGUL JUNGSEONG O-O,NGUL JUNGSEONG O, HANGUL JUNGSEONG O
D7B1,1169 1169 4E28,ힱ,ᅩᅩ丨,HANGUL JUNGSEONG O-O-I,NGUL JUNGSEONG O, HANGUL JUNGSEONG O, CJK UNIFIED IDEOGRAPH-4E28
1183,1169 116E,ᆃ,ᅩᅮ,HANGUL JUNGSEONG O-U,NGUL JUNGSEONG O, HANGUL JUNGSEONG U
116C,1169 4E28,ᅬ,ᅩ丨,HANGUL JUNGSEONG OE,NGUL JUNGSEONG O, CJK UNIFIED IDEOGRAPH-4E28
315A,1169 4E28,ㅚ,ᅩ丨,HANGUL LETTER OE,NGUL JUNGSEONG O, CJK UNIFIED IDEOGRAPH-4E28
315B,116D,ㅛ,ᅭ,HANGUL LETTER YO,NGUL JUNGSEONG YO
D7B2,116D 1161,ힲ,ᅭᅡ,HANGUL JUNGSEONG YO-A,NGUL JUNGSEONG YO, HANGUL JUNGSEONG A
D7B3,116D 1161 4E28,ힳ,ᅭᅡ丨,HANGUL JUNGSEONG YO-AE,NGUL JUNGSEONG YO, HANGUL JUNGSEONG A, CJK UNIFIED IDEOGRAPH-4E28
1184,116D 1163,ᆄ,ᅭᅣ,HANGUL JUNGSEONG YO-YA,NGUL JUNGSEONG YO, HANGUL JUNGSEONG YA
3187,116D 1163,ㆇ,ᅭᅣ,HANGUL LETTER YO-YA,NGUL JUNGSEONG YO, HANGUL JUNGSEONG YA
1186,116D 1163,ᆆ,ᅭᅣ,HANGUL JUNGSEONG YO-YEO,NGUL JUNGSEONG YO, HANGUL JUNGSEONG YA
1185,116D 1163 4E28,ᆅ,ᅭᅣ丨,HANGUL JUNGSEONG YO-YAE,NGUL JUNGSEONG YO, HANGUL JUNGSEONG YA, CJK UNIFIED IDEOGRAPH-4E28
3188,116D 1163 4E28,ㆈ,ᅭᅣ丨,HANGUL LETTER YO-YAE,NGUL JUNGSEONG YO, HANGUL JUNGSEONG YA, CJK UNIFIED IDEOGRAPH-4E28
D7B4,116D 1165,ힴ,ᅭᅥ,HANGUL JUNGSEONG YO-EO,NGUL JUNGSEONG YO, HANGUL JUNGSEONG EO
1187,116D 1169,ᆇ,ᅭᅩ,HANGUL JUNGSEONG YO-O,NGUL JUNGSEONG YO, HANGUL JUNGSEONG O
1188,116D 4E28,ᆈ,ᅭ丨,HANGUL JUNGSEONG YO-I,NGUL JUNGSEONG YO, CJK UNIFIED IDEOGRAPH-4E28
3189,116D 4E28,ㆉ,ᅭ丨,HANGUL LETTER YO-I,NGUL JUNGSEONG YO, CJK UNIFIED IDEOGRAPH-4E28
315C,116E,ㅜ,ᅮ,HANGUL LETTER U,NGUL JUNGSEONG U
1189,116E 1161,ᆉ,ᅮᅡ,HANGUL JUNGSEONG U-A,NGUL JUNGSEONG U, HANGUL JUNGSEONG A
118A,116E 1161 4E28,ᆊ,ᅮᅡ丨,HANGUL JUNGSEONG U-AE,NGUL JUNGSEONG U, HANGUL JUNGSEONG A, CJK UNIFIED IDEOGRAPH-4E28
116F,116E 1165,ᅯ,ᅮᅥ,HANGUL JUNGSEONG WEO,NGUL JUNGSEONG U, HANGUL JUNGSEONG EO
315D,116E 1165,ㅝ,ᅮᅥ,HANGUL LETTER WEO,NGUL JUNGSEONG U, HANGUL JUNGSEONG EO
118B,116E 1165 30FC,ᆋ,ᅮᅥー,HANGUL JUNGSEONG U-EO-EU,NGUL JUNGSEONG U, HANGUL JUNGSEONG EO, KATAKANA-HIRAGANA PROLONGED SOUND MARK
1170,116E 1165 4E28,ᅰ,ᅮᅥ丨,HANGUL JUNGSEONG WE,NGUL JUNGSEONG U, HANGUL JUNGSEONG EO, CJK UNIFIED IDEOGRAPH-4E28
315E,116E 1165 4E28,ㅞ,ᅮᅥ丨,HANGUL LETTER WE,NGUL JUNGSEONG U, HANGUL JUNGSEONG EO, CJK UNIFIED IDEOGRAPH-4E28
D7B5,116E 1167,ힵ,ᅮᅧ,HANGUL JUNGSEONG U-YEO,NGUL JUNGSEONG U, HANGUL JUNGSEONG YEO
118C,116E 1167 4E28,ᆌ,ᅮᅧ丨,HANGUL JUNGSEONG U-YE,NGUL JUNGSEONG U, HANGUL JUNGSEONG YEO, CJK UNIFIED IDEOGRAPH-4E28
